iter	Passed	Remaining
0	60	60531
1	60	30391
2	61	20356
3	61	15335
4	61	12311
5	62	10299
6	62	8854
7	62	7770
8	62	6925
9	63	6252
10	63	5702
11	63	5250
12	64	4861
13	64	4525
14	64	4235
15	64	3980
16	64	3755
17	65	3560
18	65	3381
19	65	3220
20	66	3079
21	66	2947
22	66	2827
23	66	2719
24	67	2617
25	67	2526
26	67	2437
27	67	2358
28	68	2282
29	68	2211
30	68	2144
31	68	2083
32	69	2026
33	69	1970
34	69	1919
35	69	1870
36	70	1823
37	70	1779
38	70	1738
39	70	1698
40	71	1661
41	71	1626
42	71	1592
43	71	1560
44	72	1529
45	72	1500
46	72	1472
47	72	1445
48	73	1419
49	73	1396
50	73	1372
51	74	1351
52	74	1328
53	74	1307
54	74	1286
55	75	1267
56	75	1247
57	75	1232
58	76	1214
59	76	1197
60	76	1180
61	77	1165
62	77	1149
63	77	1134
64	77	1120
65	78	1106
66	78	1092
67	78	1079
68	78	1065
69	79	1052
70	79	1041
71	79	1028
72	80	1017
73	80	1005
74	80	994
75	80	984
76	81	974
77	81	964
78	81	954
79	82	943
80	82	934
81	82	924
82	82	913
83	82	904
84	83	895
85	83	886
86	83	878
87	83	870
88	84	861
89	84	853
90	84	845
91	84	838
92	85	831
93	85	825
94	85	818
95	86	811
96	86	804
97	86	797
98	87	792
99	87	785
100	87	779
101	87	772
102	88	766
103	88	760
104	88	754
105	88	749
106	89	744
107	89	738
108	89	733
109	89	727
110	90	722
111	90	716
112	90	712
113	91	707
114	91	702
115	91	697
116	91	693
117	92	688
118	92	684
119	92	679
120	92	674
121	93	669
122	93	665
123	93	661
124	93	656
125	94	652
126	94	647
127	94	643
128	94	640
129	95	636
130	95	632
131	95	628
132	95	624
133	96	622
134	96	618
135	96	615
136	97	611
137	97	608
138	97	604
139	97	601
140	98	597
141	98	593
142	98	590
143	98	587
144	99	584
145	99	581
146	99	578
147	99	575
148	100	571
149	100	568
150	100	565
151	100	562
152	101	559
153	101	556
154	101	553
155	101	551
156	102	548
157	102	545
158	102	542
159	102	540
160	102	536
161	103	534
162	103	531
163	103	529
164	104	527
165	104	525
166	104	522
167	105	520
168	105	518
169	105	515
170	105	513
171	106	511
172	106	509
173	106	507
174	107	505
175	107	503
176	107	501
177	108	498
178	108	496
179	108	494
180	108	492
181	109	490
182	109	488
183	109	486
184	109	484
185	110	482
186	110	480
187	110	478
188	111	476
189	111	474
190	111	472
191	111	470
192	112	468
193	112	466
194	112	464
195	112	462
196	113	460
197	113	458
198	113	457
199	113	455
200	114	453
201	114	451
202	114	449
203	114	447
204	115	446
205	115	444
206	115	442
207	115	441
208	116	439
209	116	437
210	116	436
211	116	434
212	117	432
213	117	431
214	117	429
215	117	428
216	118	426
217	118	424
218	118	423
219	118	421
220	119	420
221	119	418
222	119	417
223	120	415
224	120	414
225	120	413
226	120	411
227	121	410
228	121	408
229	121	407
230	122	406
231	122	405
232	122	403
233	122	402
234	123	401
235	123	399
236	123	398
237	123	396
238	124	395
239	124	394
240	124	392
241	125	391
242	125	390
243	125	389
244	125	388
245	126	386
246	126	385
247	126	384
248	127	383
249	127	381
250	127	380
251	127	379
252	127	377
253	128	376
254	128	375
255	128	374
256	129	373
257	129	372
258	129	370
259	129	369
260	130	368
261	130	367
262	130	366
263	130	364
264	131	363
265	131	362
266	131	361
267	131	360
268	132	359
269	132	358
270	132	356
271	133	356
272	133	355
273	133	354
274	133	353
275	134	351
276	134	350
277	134	349
278	135	348
279	135	347
280	135	346
281	135	345
282	136	345
283	136	344
284	136	343
285	137	342
286	137	340
287	137	340
288	137	339
289	138	338
290	138	337
291	138	336
292	139	335
293	139	334
294	139	333
295	139	332
296	140	331
297	140	331
298	140	330
299	141	329
300	141	328
301	141	327
302	142	326
303	142	325
304	142	324
305	142	323
306	143	322
307	143	321
308	143	320
309	143	320
310	144	319
311	144	318
312	144	317
313	144	316
314	145	315
315	145	314
316	145	313
317	145	312
318	146	311
319	146	310
320	146	310
321	146	309
322	147	308
323	147	307
324	147	306
325	147	305
326	148	304
327	148	303
328	148	302
329	148	302
330	149	301
331	149	300
332	149	299
333	149	298
334	150	297
335	150	297
336	150	296
337	150	295
338	151	294
339	151	294
340	151	293
341	152	293
342	152	292
343	152	291
344	153	290
345	153	289
346	153	289
347	154	288
348	154	287
349	154	287
350	154	286
351	155	285
352	155	284
353	155	283
354	155	283
355	156	282
356	156	281
357	156	280
358	156	280
359	157	279
360	157	278
361	157	277
362	157	277
363	158	276
364	158	275
365	158	274
366	158	274
367	159	273
368	159	272
369	159	272
370	160	271
371	160	270
372	160	269
373	160	269
374	161	268
375	161	267
376	161	267
377	161	266
378	162	265
379	162	264
380	162	264
381	162	263
382	163	262
383	163	262
384	163	261
385	163	260
386	164	260
387	164	259
388	164	258
389	165	258
390	165	257
391	165	257
392	166	256
393	166	255
394	166	255
395	166	254
396	167	253
397	167	253
398	167	252
399	168	252
400	168	251
401	168	250
402	169	250
403	169	249
404	169	249
405	169	248
406	170	247
407	170	248
408	171	247
409	171	246
410	171	246
411	172	245
412	172	245
413	172	244
414	172	243
415	173	243
416	173	242
417	173	241
418	173	241
419	174	240
420	174	240
421	174	239
422	175	238
423	175	238
424	175	237
425	175	237
426	176	236
427	176	235
428	176	235
429	177	234
430	177	234
431	177	233
432	177	232
433	178	232
434	178	231
435	178	231
436	178	230
437	179	229
438	179	229
439	179	228
440	179	228
441	180	227
442	180	226
443	180	226
444	181	225
445	181	225
446	181	224
447	182	224
448	182	223
449	182	223
450	182	222
451	183	221
452	183	221
453	183	221
454	184	220
455	184	219
456	184	219
457	184	218
458	185	218
459	185	217
460	185	217
461	185	216
462	186	215
463	186	215
464	186	214
465	187	214
466	187	213
467	187	213
468	187	212
469	188	212
470	188	211
471	188	210
472	188	210
473	189	209
474	189	209
475	189	208
476	189	208
477	190	207
478	190	206
479	190	206
480	190	205
481	191	205
482	191	204
483	191	204
484	191	203
485	192	203
486	192	202
487	192	202
488	192	201
489	193	201
490	193	200
491	193	199
492	193	199
493	194	198
494	194	198
495	194	197
496	194	197
497	195	196
498	195	196
499	196	196
500	196	195
501	196	195
502	197	194
503	197	194
504	197	193
505	197	193
506	198	192
507	198	192
508	198	191
509	199	191
510	199	190
511	199	190
512	199	189
513	200	189
514	200	188
515	200	188
516	200	187
517	201	187
518	201	186
519	201	186
520	202	185
521	202	185
522	202	184
523	202	184
524	203	183
525	203	183
526	203	182
527	203	182
528	204	181
529	204	181
530	204	180
531	204	180
532	205	179
533	205	179
534	205	178
535	206	178
536	206	177
537	206	177
538	206	176
539	207	176
540	207	175
541	207	175
542	207	174
543	208	174
544	208	173
545	208	173
546	208	172
547	209	172
548	209	172
549	209	171
550	209	171
551	210	170
552	210	170
553	210	169
554	210	169
555	211	168
556	211	168
557	211	167
558	212	167
559	212	166
560	212	166
561	213	166
562	213	165
563	213	165
564	213	164
565	214	164
566	214	163
567	214	163
568	215	162
569	215	162
570	215	162
571	215	161
572	216	161
573	216	160
574	216	160
575	216	159
576	217	159
577	217	158
578	217	158
579	217	157
580	218	157
581	218	156
582	218	156
583	218	155
584	219	155
585	219	155
586	219	154
587	219	154
588	220	153
589	220	153
590	220	152
591	220	152
592	221	151
593	221	151
594	221	150
595	221	150
596	222	149
597	222	149
598	222	149
599	222	148
600	223	148
601	223	147
602	223	147
603	223	146
604	224	146
605	224	145
606	224	145
607	225	145
608	225	144
609	225	144
610	225	143
611	226	143
612	226	142
613	226	142
614	226	142
615	227	141
616	227	141
617	227	140
618	227	140
619	228	139
620	228	139
621	228	139
622	229	138
623	229	138
624	229	137
625	229	137
626	230	136
627	230	136
628	230	136
629	230	135
630	231	135
631	231	134
632	231	134
633	232	133
634	232	133
635	232	133
636	232	132
637	233	132
638	233	131
639	233	131
640	233	131
641	234	130
642	234	130
643	234	129
644	235	129
645	235	129
646	235	128
647	235	128
648	236	127
649	236	127
650	236	126
651	236	126
652	237	126
653	237	125
654	237	125
655	238	124
656	238	124
657	238	124
658	238	123
659	239	123
660	239	122
661	239	122
662	240	122
663	240	121
664	240	121
665	240	120
666	241	120
667	241	119
668	241	119
669	241	119
670	242	118
671	242	118
672	242	117
673	242	117
674	243	117
675	243	116
676	243	116
677	243	115
678	244	115
679	244	114
680	244	114
681	244	114
682	245	113
683	245	113
684	245	112
685	245	112
686	246	112
687	246	111
688	246	111
689	247	111
690	247	110
691	247	110
692	247	109
693	248	109
694	248	109
695	248	108
696	248	108
697	249	107
698	249	107
699	249	106
700	249	106
701	250	106
702	250	105
703	250	105
704	250	104
705	251	104
706	251	104
707	251	103
708	251	103
709	252	102
710	252	102
711	252	102
712	252	101
713	253	101
714	253	100
715	253	100
716	253	100
717	254	99
718	254	99
719	254	99
720	254	98
721	255	98
722	255	97
723	255	97
724	255	97
725	256	96
726	256	96
727	256	95
728	256	95
729	257	95
730	257	94
731	257	94
732	257	93
733	258	93
734	258	93
735	258	92
736	258	92
737	259	91
738	259	91
739	259	91
740	259	90
741	260	90
742	260	90
743	260	89
744	260	89
745	261	88
746	261	88
747	261	88
748	261	87
749	262	87
750	262	86
751	262	86
752	262	86
753	263	85
754	263	85
755	263	85
756	263	84
757	263	84
758	264	83
759	264	83
760	264	83
761	264	82
762	265	82
763	265	82
764	265	81
765	266	81
766	266	80
767	266	80
768	266	80
769	267	79
770	267	79
771	267	79
772	267	78
773	268	78
774	268	77
775	268	77
776	268	77
777	269	76
778	269	76
779	273	77
780	274	76
781	274	76
782	274	76
783	275	75
784	275	75
785	275	75
786	278	75
787	278	74
788	279	74
789	279	74
790	279	73
791	280	73
792	280	73
793	280	72
794	281	72
795	281	72
796	281	71
797	282	71
798	282	71
799	282	70
800	282	70
801	283	69
802	283	69
803	283	69
804	283	68
805	284	68
806	284	68
807	284	67
808	284	67
809	285	66
810	285	66
811	285	66
812	286	65
813	286	65
814	286	65
815	286	64
816	287	64
817	287	63
818	287	63
819	288	63
820	288	62
821	288	62
822	288	62
823	289	61
824	289	61
825	289	61
826	289	60
827	290	60
828	290	59
829	290	59
830	290	59
831	291	58
832	291	58
833	291	58
834	292	57
835	292	57
836	292	56
837	292	56
838	293	56
839	293	55
840	293	55
841	293	55
842	294	54
843	294	54
844	294	54
845	294	53
846	295	53
847	295	52
848	295	52
849	296	52
850	296	51
851	296	51
852	296	51
853	297	50
854	298	50
855	298	50
856	298	49
857	298	49
858	299	49
859	299	48
860	299	48
861	299	48
862	300	47
863	300	47
864	300	46
865	300	46
866	301	46
867	301	45
868	301	45
869	302	45
870	302	44
871	302	44
872	302	44
873	303	43
874	303	43
875	303	42
876	303	42
877	304	42
878	304	41
879	304	41
880	304	41
881	305	40
882	305	40
883	305	40
884	305	39
885	306	39
886	306	39
887	306	38
888	307	38
889	307	37
890	307	37
891	307	37
892	308	36
893	308	36
894	308	36
895	309	35
896	309	35
897	309	35
898	309	34
899	310	34
900	310	34
901	310	33
902	310	33
903	311	33
904	311	32
905	311	32
906	312	31
907	312	31
908	312	31
909	312	30
910	313	30
911	313	30
912	313	29
913	313	29
914	314	29
915	314	28
916	314	28
917	314	28
918	315	27
919	315	27
920	315	27
921	316	26
922	316	26
923	316	26
924	316	25
925	317	25
926	317	24
927	317	24
928	317	24
929	318	23
930	318	23
931	318	23
932	319	22
933	319	22
934	319	22
935	319	21
936	320	21
937	320	21
938	320	20
939	320	20
940	321	20
941	321	19
942	321	19
943	322	19
944	322	18
945	322	18
946	322	18
947	323	17
948	323	17
949	323	17
950	323	16
951	324	16
952	324	15
953	324	15
954	324	15
955	325	14
956	325	14
957	325	14
958	326	13
959	326	13
960	326	13
961	326	12
962	327	12
963	327	12
964	327	11
965	328	11
966	328	11
967	328	10
968	328	10
969	329	10
970	329	9
971	329	9
972	329	9
973	330	8
974	330	8
975	330	8
976	330	7
977	331	7
